ID,Year,Keywords,Type,Cites
7.13E+10,1998,artificial intelligence;heuristics;knowledge-based systems;optimization,wos,1
7.15E+10,1998,artificial intelligence;linear regression;physiological process modeling,wos,9
7.15E+10,1998,robotics;pattern recognition;artificial intelligence;image processing,wos,22
7.16E+10,1998,constraint logic programming;operations research;crew rostering problem;combinatorial optimization problems;artificial intelligence,wos,20
7.17E+10,1998,artificial intelligence;neural networks;medical decision making;kidney;nephrology,wos,7
7.17E+10,1998,constraint propagation;distributed artificial intelligence;distributed problem solving;constraint-based knowledge brokers;cooperative agents;protocol,wos,1
7.17E+10,1998,artificial intelligence;diagnostics;induction machines,wos,207
7.19E+10,1998,neural nets;simulation;artificial intelligence;project management;modelling,wos,38
7.20E+10,1998,artificial intelligence;genetic algorithm;schema,wos,0
7.20E+10,1998,radiology;pacs;legal aspects;products liability;confidentiality;encryption;data compression;artificial intelligence;telemedicine,wos,3
7.22E+10,1998,artificial intelligence;cog;image of god;performative;robotics;symbol;theology,wos,12
7.22E+10,1998,biological monitoring;river pollution;water quality;bmwp;aspt;rivpacs;neural networks;artificial intelligence,wos,45
7.23E+10,1998,image processing;pattern recognition;parallelism;artificial intelligence,wos,1
7.23E+10,1998,nmr;artificial intelligence;organic structural analysis,wos,9
7.23E+10,1998,artificial intelligence;assembly planning;assembly sequence;integration;knowledge-based systems;petri nets,wos,53
7.23E+10,1998,artificial intelligence;pattern recognition;fuzzy systems;tuning of membership functions,wos,0
7.24E+10,1998,robotics;artificial intelligence;construction,wos,44
7.25E+10,1998,factor spaces;description frame;factor sufficiency;atomic factor spaces;rank of a concept;artificial intelligence;multicriteria analysis,wos,10
7.25E+10,1998,computer aided engineering;intelligent assistants;artificial intelligence,wos,2
7.26E+10,1998,artificial intelligence;marine trainers;local navigation,wos,2
7.26E+10,1998,intelligent training system;artificial intelligence;computer-based training;industrial training;equipment emulation,wos,3
7.26E+10,1998,artificial intelligence;blackboard systems;constraint satisfaction problem;expert systems;search problems;truth maintenance,wos,0
7.27E+10,1998,artificial intelligence;artificial neural networks;cellular automata;chaos;drug design;fractal;fuzzy logic;genetic algorithms;molecular modeling;qsar;soft computing,wos,15
7.28E+10,1998,metal-stampings;tool and die;progressive die;artificial intelligence;knowledge-based systems;precision engineering,wos,40
7.28E+10,1998,artificial intelligence;cooperation;manufacturing systems,wos,0
7.28E+10,1998,artificial intelligence;hybrid system;cad/cae/cam;mechanical transmission;design;manufacture,wos,10
7.28E+10,1998,artificial intelligence;internet;agile manufacturing,wos,28
7.28E+10,1998,intelligent manufacturing systems;distributed artificial intelligence;distributed manufacturing,wos,42
7.29E+10,1998,artificial intelligence;computer-assisted;diagnosis;electrocardiography;myocardial infarction,wos,10
7.33E+10,1998,artificial intelligence;image processing;linguistic modeling;pattern recognition,wos,1
7.34E+10,1998,world wide web;computer based training and teaching;artificial intelligence;constructivist learning environments;human-computer interaction,wos,1
7.34E+10,1998,artificial intelligence;planning;data exploration,wos,7
7.34E+10,1998,distributed artificial intelligence;knowledge-based decision support system;machine learning;heuristics;contractor prequalification,wos,2
7.35E+10,1998,psychrometry;drying;relative humidity;wetbulb temperature;drybulb temperature;artificial intelligence;humidification;cooling towers,wos,28
7.36E+10,1998,dam safety;artificial intelligence;information systems,wos,0
7.36E+10,1998,speed estimation;neural networks;associative memory networks;neuro-fuzzy networks;minimal configuration;artificial intelligence;speed-sensorless drives,wos,8
7.36E+10,1998,knowledge-based systems;decision support systems;artificial intelligence;literature survey;decision sciences,wos,11
7.36E+10,1998,ion-exclusion chromatography;expert systems;artificial intelligence,wos,3
7.37E+10,1998,distributed artificial intelligence;multi-agent systems;intelligent systems;air traffic control,wos,20
7.37E+10,1998,armed forces;artificial intelligence;computer-based training;expert systems;knowledge-based systems;war,wos,1
7.37E+10,1998,artificial intelligence;control;cybernetes,wos,0
7.37E+10,1998,computer simulation;discrete events;waiting phenomenons;knowledge-based simulation;artificial intelligence;expert systems,wos,0
7.38E+10,1998,artificial intelligence;cog;dialogue;image of god;image dei;symbol;symbolic approach,wos,2
7.38E+10,1998,artificial intelligence;creator;humanoid robotics;image of god;metaphor,wos,2
7.38E+10,1998,distributed artificial intelligence (dai);flexible manufacturing systems;rescheduling;tool scheduling,wos,16
7.39E+10,1998,flexible manufacturing systems;flexible manufacturing cell;production system;cell programming and control;object-oriented programming;artificial intelligence;cim,wos,5
7.39E+10,1998,reverse engineering;design recovery;artificial intelligence;program-understanding,wos,37
7.40E+10,1998,parallel processing;scheduling;distributed artificial intelligence;game theory;adaptive processes,wos,20
7.41E+10,1998,models;artificial intelligence;population dynamics;red deer;forest ecosystem;sustainable management,wos,14
7.41E+10,1998,artificial intelligence;biodegradation;machine learning;pollution modelling;qsar;qsbr,wos,7
7.43E+10,1998,cogeneration system;operations scheduling;artificial intelligence;evolutionary programming,wos,16
7.45E+10,1998,active help;passive help;on-line help;user model;artificial intelligence,wos,2
